10,GREENLAND   EAST COAST
60,ICELAND  WEST COAST
200,ICELAND  NORTH COAST
360,ICELAND  EAST COAST
490,ICELAND  SOUTH COAST
540,GREENLAND EAST COAST
545,GREENLAND  WEST COAST
1005,CANADA EAST COAST
1010,BAFFIN ISLAND
1070,HUDSON BAY
1160,HUDSON STRAIT
1230,LABRADOR
1410,NEWFOUNDLAND  E COAST
1680,NEWFOUNDLAND S COAST
1740,ILE ST PIERRE
1760,ILE MIQUELON
1780,NEWFOUNDLAND CONT.
1800,NEWFOUNDLAND  W COAST
1870,GULF OF ST LAWRENCE
1871,NORTH SIDE
1910,ANTICOSTI ISLAND
1930,CANADA ST LAWRENCE R
2270,OTTAWA RIVER
2545,CANADA ST LAWRENCE R
2750,US ST LAWRENCE R
2820,CANADA LAKE ONTARIO
3120,US LAKE ONTARIO
3240,CANADA LAKE ERIE
3400,US LAKE ERIE
3640,CANADA LAKE HURON
4300,US LAKE HURON
4570,US LAKE MICHIGAN
5120,CANADA LAKE SUPERIOR
5230,US LAKE SUPERIOR
5500,GULF OF ST LAWRENCE
5501,SOUTH SIDE
5555,NEW BRUNSWICK
5685,MAGDALEN ISLANDS
5705,PRINCE EDWARD ISLAND
5775,NOVA SCOTIA
5860,CAPE BRETON ISLAND
6070,NOVA SCOTIA CONT
6585,UNITED STATES E COAST
8650,US GULF COAST
9350,MEXICO EAST COAST
9580,BELIZE
9600,GUATEMALA EAST COAST
9630,HONDURAS EAST COAST
9705,ISLA DE GUANAJA
9740,NICARAGUA EAST COAST
9800,COSTA RICA E COAST
9820,PANAMA EAST COAST
9930,BERMUDA ISLANDS
9970,WEST INDIES
9980,BAHAMA ISLANDS
10016,TURKS AND CAICOS IS
10030,CUBA NORTH COAST
10310,CUBA SOUTH COAST
10575,CAYMAN ISLANDS
10590,JAMAICA NORTH COAST
10730,JAMAICA SOUTH COAST
10810,HAITI
10950,DOMINICAN REPUBLIC
11080,PUERTO RICO
11302,VIRGIN ISLANDS
11305,ST THOMAS
11315,ST JOHN
11325,ST CROIX
11345,TORTOLA ISLAND
11355,ST MARTIN
11375,ST BARTHELEMY
11382,NETHERLANDS ANTILLES
11385,SAINT EUSTATIUS
11392,SAINT KITTS AND NEVIS
11415,MONTSERRAT
11426,ANTIGUA AND BARBUDA
11445,GUADELOUPE
11486,MAIE GALANTE
11505,ILES DES SAINTES
11515,DOMINICA
11535,MARTINIQUE
11615,SAINT LUCIA
11636,ST VINCENT AND GRENADINES
11637,SAINT VINCENT
11665,GRENADA
11675,BARBADOS
11692,TRINIDAD AND TOBAGO
11695,TOBAGO
11705,TRINIDAD
11773,NETHERLANDS ANTILLES
11775,BONAIRE
11785,CURACAO
11825,ARUBA
11860,COLOMBIA NORTH COAST
11950,VENEZUELA
12350,GUYANA
12395,SURINAME
12440,FRENCH GUIANA
12470,BRAZIL NE COAST
12565,PERU AMAZON RIVER
12575,BRAZIL NE COAST CONT
12700,BRAZIL SE COAST
13090,URUGUAY
13190,PARAGUAY
13310,ARGENTINA
13990,FALKLAND ISLANDS
14010,SOUTH GEORGIA
14070,CHILE
14830,PERU
15240,ECUADOR
15340,GALAPAGOS ISLANDS
15350,COLOMBIA WEST COAST
15380,PANAMA WEST COAST
15470,COSTA RICA WEST COAST
15520,NICARAGUA WEST COAST
15560,HONDURAS WEST COAST
15590,EL SALVADOR
15650,GUATEMALA WEST COAST
15700,MEXICO WEST COAST
16000,UNITED STATES W COAST
18080,CANADA WEST COAST
19070,UNITED STATES
19080,ALASKA
20095,ALEUTIAN ISLANDS
20185,ALASKA CONTINUED
20490,CANADA NORTH COAST
20540,SVALBARD
20620,NORWAY
23860,SWEDEN
24735,OLAND
24806,GOTLAND
24975,SWEDEN CONT
27380,FINLAND
28250,RUSSIA
28420,ESTONIA
28600,LATVIA
28650,LITHUANIA
28670,RUSSIA
28700,POLAND
28826,GERMANY
29010,DENMARK
29020,BORNHOLM
29150,SJAELLAND
29570,FALSTER
29650,LOLLAND
29730,LANGELAND
29780,AERO
29820,FYN
29970,SAMSO
30020,JYLLAND
30650,GERMANY
30980,NETHERLANDS
31240,BELGIUM
31325,UNITED KINGDOM
31330,ENGLAND EAST COAST
31870,SCOTLAND EAST COAST
32390,ORKNEY ISLANDS
32510,SHETLAND ISLANDS
32660,FAROE ISLANDS
32755,UNITED KINGDOM CONT
32760,SCOTLAND NORTH COAST
32790,SCOTLAND WEST COAST
33580,ISLE OF MAN
33630,NORTHERN IRELAND
33840,IRELAND
34580,ENGLAND WEST COAST
34710,WALES
35030,ENGLAND SW COAST
35220,ENGLAND SOUTH COAST
35720,FRANCE NW COAST
35970,CHANNEL ISLANDS
36060,FRANCE NW COAST CONT
36450,FRANCE WEST COAST
37270,SPAIN N COAST
37930,PORTUGAL
38060,ACORES
38120,ARQUIPELAGO DA MADEIRA
38135,SPAIN
38140,ISLAS CANARIAS
38200,SPAIN SW COAST
38320,GIBRALTAR
38340,SPAIN SE COAST
38600,ISLAS BALEARES
38710,FRANCE SOUTH COAST
39020,MONACO
39030,FRANCE CONTINUED
39040,CORSE
39125,ITALY
